,Hostname,IP-Adresse,Seriennr
1813,de-fid-machn-sh-01a,10.51.188.22,CN88FPB1GF
1823,de-fid-memmi-sh-01a,10.51.165.38,CN85FPB01B
1824,de-fid-memmi-sh-02a,10.51.158.222,CN85FPB061
1825,de-fid-memmi-sh-04a,10.51.156.6,CN78DRW0X0
1826,de-fid-memmi-sh-04b,10.51.156.5,CN78DRW04X
1827,de-fid-mindel-sh-02a,10.51.168.6,CN78DRW0XY
1828,de-fid-trunk-sh-01a,10.51.182.102,CN81FPB2V2
1834,de-fid-ehren-sh-07b,10.178.172.222,CN97FPB031
1857,de-fid-opfin-sh-02b,10.178.199.110,CN9AFPB076
1910,de-fid-lands-sh-10a,10.51.150.110,CN38DRW0SN
1911,de-fid-lands-sh-10b,10.51.150.109,CN35DRR4D2
1912,de-fid-lands-sh-10d,10.51.150.107,CN90FP6254
1913,de-fid-lands-sh-18b,10.51.148.38,CN83FP71Z4
1914,de-fid-lands-sh-18c,10.51.148.37,CN82FP60LM
1915,de-fid-lands-sh-25a,10.51.190.22,CN5BFPB0NB
1950,de-fid-adels-sh-05b,10.51.154.142,CN8BFPB0BL
1951,de-fid-gelte-sh-03a,10.51.151.110,CN37FP623R
1952,de-fid-gelte-sh-03b,10.51.151.109,CN36FP70ZL
1953,de-fid-moore-sh-01b,10.51.146.238,CN60DRW093
1954,de-fid-moore-sh-01c,10.51.146.237,CN60DRW06L
1955,de-fid-moore-sh-01d,10.51.146.236,CN6BFPB1T7
1956,de-fid-stein-sh-25b,10.51.154.110,CN92FPB080
1957,de-fid-tuerk-sh-03b,10.51.157.6,CN92FPB06Q
1960,de-fid-holz-sh-01a,10.51.166.14,CN64FPC08Z
1961,de-fid-hurla-sh-01b,10.51.150.198,CN78DRW02M
1962,de-fid-hurla-sh-01c,10.51.150.197,CN89FPB0XV
1964,de-fid-lange-sh-01a,10.51.191.6,CN64FPC0HQ
1965,de-fid-lange-sh-22b,10.51.202.238,CN78DRW01D
1966,de-fid-hero1-sh-01b,10.51.204.166,CN69DRV0VR
1967,de-fid-astad-sh-01c,10.51.146.54,CN28DRV1GN
